Assembly Accession	Assembly Name	Organism Name	Annotation Name	Assembly Level	Assembly Release Date	Assembly Stats Number of Scaffolds	Assembly BioProject Accession	Assembly BioSample Accession
GCF_043040285.1	ASM4304028v1	Acinetobacter baumannii	GCF_043040285.1-RS_2024_10_13	Complete Genome	2024-10-15	1	PRJNA1016089	SAMN37368136
GCF_038985835.1	ASM3898583v1	Acinetobacter baumannii	GCF_038985835.1-RS_2024_05_02	Complete Genome	2024-05-03	2	PRJNA992789	SAMN36374876
GCF_023361035.1	ASM2336103v1	Acinetobacter baumannii	GCF_023361035.1-RS_2024_05_21	Complete Genome	2022-05-13	2	PRJNA789460	SAMN24114685
GCF_038441205.1	ASM3844120v1	Acinetobacter baumannii	GCF_038441205.1-RS_2024_04_25	Complete Genome	2024-04-25	4	PRJNA1000275	SAMN36766191
GCF_022459115.2	ASM2245911v2	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-08-26	2	PRJNA798866	SAMN25131648
GCF_041154845.1	ASM4115484v1	Acinetobacter baumannii	GCF_041154845.1-RS_2024_08_10	Complete Genome	2024-08-10	2	PRJDB18098	SAMD00778479
GCF_029713865.1	ASM2971386v1	Acinetobacter baumannii	GCF_029713865.1-RS_2024_05_17	Complete Genome	2023-04-13	3	PRJNA819214	SAMN27010238
GCF_019458485.1	ASM1945848v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-08-08	5	PRJNA742487	SAMN19955388
GCF_033378915.2	ASM3337891v2	Acinetobacter baumannii	GCF_033378915.2-RS_2024_06_26	Complete Genome	2024-06-26	2	PRJNA561493	SAMN31178860
GCF_023615705.1	ASM2361570v2	Acinetobacter baumannii	GCF_023615705.1-RS_2024_05_12	Complete Genome	2023-01-17	3	PRJNA812595	SAMN28788563
GCF_029714005.1	ASM2971400v1	Acinetobacter baumannii	GCF_029714005.1-RS_2024_05_17	Complete Genome	2023-04-13	3	PRJNA819214	SAMN27010219
GCF_029714165.1	ASM2971416v1	Acinetobacter baumannii	GCF_029714165.1-RS_2024_05_17	Complete Genome	2023-04-13	3	PRJNA819214	SAMN27010256
GCF_017096425.2	ASM1709642v2	Acinetobacter baumannii	GCF_017096425.2-RS_2024_05_21	Complete Genome	2021-11-16	4	PRJNA646312	SAMN15538702
GCF_014705825.1	ASM1470582v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-09-23	2	PRJNA300270	SAMN12391537
GCF_003522785.1	ASM352278v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-09-10	3	PRJNA311558	SAMN07520233
GCF_042153585.1	Up377	Acinetobacter baumannii	GCF_042153585.1-RS_2024_09_24	Complete Genome	2024-09-25	5	PRJNA1126181	SAMN41934847
GCF_009498335.1	ASM949833v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-11-04	1	PRJNA560129	SAMN12569102
GCF_043052795.1	ASM4305279v1	Acinetobacter baumannii	GCF_043052795.1-RS_2024_10_13	Complete Genome	2024-10-15	1	PRJNA1016089	SAMN37368116
GCF_030585365.1	ASM3058536v1	Acinetobacter baumannii	GCF_030585365.1-RS_2024_08_09	Complete Genome	2023-08-02	3	PRJNA557486	SAMN13480522
GCF_030718975.1	ASM3071897v1	Acinetobacter baumannii	GCF_030718975.1-RS_2024_08_13	Complete Genome	2023-08-14	2	PRJNA812595	SAMN25755500
GCF_024134625.1	ASM2413462v1	Acinetobacter baumannii	GCF_024134625.1-RS_2024_07_13	Complete Genome	2022-07-04	1	PRJNA850273	SAMN29176533
GCF_038442555.1	CIRI-F15-06	Acinetobacter baumannii	GCF_038442555.1-RS_2024_04_25	Complete Genome	2024-04-25	2	PRJNA1100485	SAMN40971039
GCF_023361895.1	ASM2336189v1	Acinetobacter baumannii	GCF_023361895.1-RS_2024_05_21	Complete Genome	2022-05-13	3	PRJNA789460	SAMN24114666
GCF_002947845.1	ASM294784v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-02-18	2	PRJNA292904	SAMN04014904
GCF_038441235.1	ASM3844123v1	Acinetobacter baumannii	GCF_038441235.1-RS_2024_04_24	Complete Genome	2024-04-25	3	PRJNA1000275	SAMN36766188
GCF_023362075.1	ASM2336207v1	Acinetobacter baumannii	GCF_023362075.1-RS_2024_05_21	Complete Genome	2022-05-13	2	PRJNA789460	SAMN24114656
GCF_038442275.1	CIRI-F19-10-CH3	Acinetobacter baumannii	GCF_038442275.1-RS_2024_04_25	Complete Genome	2024-04-25	2	PRJNA1100485	SAMN40971049
GCF_040822405.1	ASM4082240v1	Acinetobacter baumannii	GCF_040822405.1-RS_2024_07_24	Complete Genome	2024-07-24	3	PRJNA1136224	SAMN42510876
GCF_018831125.1	ASM1883112v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-06-10	5	PRJNA602058	SAMN13874778
GCF_023361275.1	ASM2336127v1	Acinetobacter baumannii	GCF_023361275.1-RS_2024_05_21	Complete Genome	2022-05-13	4	PRJNA789460	SAMN24114671
GCF_023361015.1	ASM2336101v1	Acinetobacter baumannii	GCF_023361015.1-RS_2024_05_21	Complete Genome	2022-05-13	2	PRJNA789460	SAMN24114686
GCF_020810655.1	ASM2081065v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-11-09	3	PRJNA472828	SAMN14226727
GCF_023361135.1	ASM2336113v1	Acinetobacter baumannii	GCF_023361135.1-RS_2024_05_21	Complete Genome	2022-05-13	2	PRJNA789460	SAMN24114678
GCF_029767905.1	ASM2976790v3	Acinetobacter baumannii	GCF_029767905.1-RS_2024_08_10	Complete Genome	2023-08-05	3	PRJNA812595	SAMN34191879
GCF_021729465.1	ASM2172946v1	Acinetobacter baumannii	GCF_021729465.1-RS_2024_03_15	Complete Genome	2022-01-31	2	PRJNA638186	SAMN15182649
GCF_022459875.1	ASM2245987v1	Acinetobacter baumannii	GCF_022459875.1-RS_2024_04_21	Complete Genome	2022-03-03	1	PRJNA798866	SAMN25131640
GCF_036602705.1	AB5075_UoB_gtr52_SAba13_1.0	Acinetobacter baumannii	GCF_036602705.1-RS_2024_04_05	Complete Genome	2024-04-05	3	PRJNA1074272	SAMN39855236
GCF_023361935.1	ASM2336193v1	Acinetobacter baumannii	GCF_023361935.1-RS_2024_05_21	Complete Genome	2022-05-13	2	PRJNA789460	SAMN24114664
GCF_001887305.1	ASM188730v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-11-29	2	PRJNA348168	SAMN06046790
GCF_038442415.1	CIRI-F18-02	Acinetobacter baumannii	GCF_038442415.1-RS_2024_04_25	Complete Genome	2024-04-25	2	PRJNA1100485	SAMN40971041
GCF_023361215.1	ASM2336121v1	Acinetobacter baumannii	GCF_023361215.1-RS_2024_05_21	Complete Genome	2022-05-13	1	PRJNA789460	SAMN24114674
GCF_029459615.1	ASM2945961v1	Acinetobacter baumannii	GCF_029459615.1-RS_2024_04_01	Complete Genome	2023-03-29	3	PRJNA900182	SAMN31681942
GCF_038442265.1	CIRI-F19-10-CH6	Acinetobacter baumannii	GCF_038442265.1-RS_2024_04_25	Complete Genome	2024-04-25	2	PRJNA1100485	SAMN40971050
GCF_004758865.1	ASM475886v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-04-09	4	PRJNA530138	SAMN11298775
GCF_042140495.1	Hv640	Acinetobacter baumannii	GCF_042140495.1-RS_2024_09_24	Complete Genome	2024-09-25	3	PRJNA1126181	SAMN41934872
GCF_015910475.1	ASM1591047v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-12-10	3	PRJNA437968	SAMN08687991
GCF_016919525.1	ASM1691952v2	Acinetobacter baumannii	GCF_016919525.1-RS_2024_04_21	Complete Genome	2021-11-09	4	PRJNA701627	SAMN17898088
GCF_022459755.2	ASM2245975v2	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-08-26	2	PRJNA798866	SAMN25131641
GCF_038442395.1	CIRI-F19-10-2	Acinetobacter baumannii	GCF_038442395.1-RS_2024_04_25	Complete Genome	2024-04-25	1	PRJNA1100485	SAMN40971043
GCF_012272795.1	ASM1227279v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-04-11	3	PRJNA612123	SAMN14308849
GCF_041154775.1	ASM4115477v1	Acinetobacter baumannii	GCF_041154775.1-RS_2024_08_10	Complete Genome	2024-08-10	1	PRJDB18098	SAMD00778454
GCF_043049525.1	ASM4304952v1	Acinetobacter baumannii	GCF_043049525.1-RS_2024_10_13	Complete Genome	2024-10-15	3	PRJNA1016089	SAMN37368122
GCF_023361115.1	ASM2336111v1	Acinetobacter baumannii	GCF_023361115.1-RS_2024_05_21	Complete Genome	2022-05-13	1	PRJNA789460	SAMN24114680
GCF_022459095.1	ASM2245909v1	Acinetobacter baumannii	GCF_022459095.1-RS_2024_04_21	Complete Genome	2022-03-03	1	PRJNA798866	SAMN25131649
GCF_005671375.1	ASM567137v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-05-23	3	PRJNA543307	SAMN11660471
GCF_038442305.1	CIRI-F19-10-9	Acinetobacter baumannii	GCF_038442305.1-RS_2024_04_25	Complete Genome	2024-04-25	1	PRJNA1100485	SAMN40971046
GCF_022467805.1	ASM2246780v1	Acinetobacter baumannii	GCF_022467805.1-RS_2024_04_21	Complete Genome	2022-03-03	1	PRJNA798866	SAMN25131668
GCF_024749385.1	ASM2474938v1	Acinetobacter baumannii	GCF_024749385.1-RS_2024_09_11	Complete Genome	2022-08-26	5	PRJNA779872	SAMN23078461
GCF_016865465.1	ASM1686546v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-01-30	1	PRJDB8068	SAMD00169927
GCF_001902375.1	ASM190237v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-12-13	2	PRJNA356204	SAMN06109232
GCF_042142835.1	Lv347	Acinetobacter baumannii	GCF_042142835.1-RS_2024_09_24	Complete Genome	2024-09-25	2	PRJNA1126181	SAMN41934856
GCF_019356075.1	ASM1935607v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-07-27	1	PRJNA747802	SAMN20295790
GCF_034126645.1	ASM3412664v2	Acinetobacter baumannii	GCF_034126645.1-RS_2024_04_21	Complete Genome	2024-02-01	2	PRJNA812595	SAMN38646042
GCF_022467735.1	ASM2246773v1	Acinetobacter baumannii	GCF_022467735.1-RS_2024_04_21	Complete Genome	2022-03-03	1	PRJNA798866	SAMN25131669
GCF_041014305.2	ASM4101430v1	Acinetobacter baumannii	GCF_041014305.2-RS_2024_09_22	Complete Genome	2024-08-03	3	PRJNA1128891	SAMN42110417
GCF_020132105.1	ASM2013210v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-09-24	2	PRJNA607827	SAMN21240079
GCF_009497995.1	ASM949799v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-11-04	3	PRJNA311558	SAMN07520235
GCF_001806405.1	ASM180640v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-10-21	2	PRJNA339686	SAMN05601669
GCF_014672775.1	ASM1467277v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-09-21	2	PRJNA645521	SAMN15507625
GCF_028622715.1	ASM2862271v1	Acinetobacter baumannii	GCF_028622715.1-RS_2024_03_25	Complete Genome	2023-02-15	3	PRJNA812595	SAMN32734006
GCF_001806365.1	ASM180636v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-10-21	2	PRJNA339683	SAMN05601667
GCF_043045365.1	ASM4304536v1	Acinetobacter baumannii	GCF_043045365.1-RS_2024_10_13	Complete Genome	2024-10-15	1	PRJNA1016089	SAMN37368128
GCF_036718155.1	ASM3671815v2	Acinetobacter baumannii	GCF_036718155.1-RS_2024_04_21	Complete Genome	2024-04-06	3	PRJNA812595	SAMN39998251
GCF_001593425.2	ASM159342v2	Acinetobacter baumannii	GCF_001593425.2-RS_2024_04_06	Complete Genome	2016-12-19	1	PRJNA302452	SAMN04273153
GCF_001941765.1	ASM194176v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-01-10	1	PRJNA305150	SAMN04273154
GCF_041154795.1	ASM4115479v1	Acinetobacter baumannii	GCF_041154795.1-RS_2024_08_10	Complete Genome	2024-08-10	1	PRJDB18098	SAMD00778456
GCF_029713845.1	ASM2971384v1	Acinetobacter baumannii	GCF_029713845.1-RS_2024_05_17	Complete Genome	2023-04-13	3	PRJNA819214	SAMN27010291
GCF_016350105.1	ASM1635010v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-12-24	2	PRJNA684975	SAMN17073616
GCF_012935105.1	ASM1293510v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-04-30	7	PRJNA613825	SAMN14420255
GCF_016919505.2	ASM1691950v2	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-11-09	4	PRJNA701627	SAMN17898087
GCF_012935185.1	ASM1293518v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-04-30	4	PRJNA613681	SAMN14414778
GCF_036601155.1	AB5075_UoB_1.0	Acinetobacter baumannii	GCF_036601155.1-RS_2024_04_05	Complete Genome	2024-04-05	4	PRJNA1074270	SAMN39855183
GCF_040529275.1	ASM4052927v1	Acinetobacter baumannii	GCF_040529275.1-RS_2024_07_06	Complete Genome	2024-07-07	1	PRJNA1121085	SAMN41726557
GCF_040536945.1	ASM4053694v1	Acinetobacter baumannii	GCF_040536945.1-RS_2024_07_07	Complete Genome	2024-07-08	1	PRJNA1121085	SAMN41726360
GCF_040529205.1	ASM4052920v1	Acinetobacter baumannii	GCF_040529205.1-RS_2024_07_06	Complete Genome	2024-07-07	1	PRJNA1121085	SAMN41726358
GCF_040267665.1	ASM4026766v1	Acinetobacter baumannii	GCF_040267665.1-RS_2024_06_23	Complete Genome	2024-06-24	1	PRJNA1121085	SAMN41726357
GCF_040529285.1	ASM4052928v1	Acinetobacter baumannii	GCF_040529285.1-RS_2024_07_06	Complete Genome	2024-07-07	1	PRJNA1121085	SAMN41726560
GCF_040529305.1	ASM4052930v1	Acinetobacter baumannii	GCF_040529305.1-RS_2024_07_06	Complete Genome	2024-07-07	1	PRJNA1121085	SAMN41726561
GCF_040529325.1	ASM4052932v1	Acinetobacter baumannii	GCF_040529325.1-RS_2024_07_06	Complete Genome	2024-07-07	1	PRJNA1121085	SAMN41724871
GCF_040529215.1	ASM4052921v1	Acinetobacter baumannii	GCF_040529215.1-RS_2024_07_06	Complete Genome	2024-07-07	1	PRJNA1121085	SAMN41726359
GCF_040536965.1	ASM4053696v1	Acinetobacter baumannii	GCF_040536965.1-RS_2024_07_07	Complete Genome	2024-07-08	1	PRJNA1121085	SAMN41726427
GCF_040536955.1	ASM4053695v1	Acinetobacter baumannii	GCF_040536955.1-RS_2024_07_07	Complete Genome	2024-07-08	1	PRJNA1121085	SAMN41726361
GCF_040529295.1	ASM4052929v1	Acinetobacter baumannii	GCF_040529295.1-RS_2024_07_06	Complete Genome	2024-07-07	1	PRJNA1121085	SAMN41726558
GCF_040529315.1	ASM4052931v1	Acinetobacter baumannii	GCF_040529315.1-RS_2024_07_06	Complete Genome	2024-07-07	1	PRJNA1121085	SAMN41726562
GCF_040529255.1	ASM4052925v1	Acinetobacter baumannii	GCF_040529255.1-RS_2024_07_06	Complete Genome	2024-07-07	1	PRJNA1121085	SAMN41726438
GCF_040529265.1	ASM4052926v1	Acinetobacter baumannii	GCF_040529265.1-RS_2024_07_06	Complete Genome	2024-07-07	1	PRJNA1121085	SAMN41726437
GCF_000828935.1	ASM82893v1	Acinetobacter baumannii	GCF_000828935.1-RS_2024_03_31	Complete Genome	2014-10-02	2	PRJDB3154	SAMD00020223
GCF_040529235.1	ASM4052923v1	Acinetobacter baumannii	GCF_040529235.1-RS_2024_07_06	Complete Genome	2024-07-07	1	PRJNA1121085	SAMN41726429
GCF_012935165.1	ASM1293516v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-04-30	4	PRJNA613675	SAMN14414747
GCF_012935025.1	ASM1293502v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-04-30	3	PRJNA613683	SAMN14415334
GCF_002762115.1	ASM276211v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-11-08	1	PRJNA416164	SAMN07943353
GCF_040529225.1	ASM4052922v1	Acinetobacter baumannii	GCF_040529225.1-RS_2024_07_06	Complete Genome	2024-07-07	1	PRJNA1121085	SAMN41726407
GCF_025722955.1	ASM2572295v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-10-17	4	PRJNA885620	SAMN31100588
GCF_030168285.1	ASM3016828v1	Acinetobacter baumannii	GCF_030168285.1-RS_2024_06_05	Complete Genome	2023-06-05	8	PRJNA833420	SAMN27988045
GCF_029223565.1	ASM2922356v1	Acinetobacter baumannii	GCF_029223565.1-RS_2024_04_30	Complete Genome	2023-03-16	2	PRJNA738868	SAMN30697644
GCF_023517235.1	ASM2351723v1	Acinetobacter baumannii	GCF_023517235.1-RS_2024_05_27	Complete Genome	2022-05-23	2	PRJNA738868	SAMN19774628
GCF_002741415.1	ASM274141v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-11-02	2	PRJNA269083	SAMN07736509
GCF_012272715.1	ASM1227271v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-04-11	3	PRJNA612123	SAMN14308892
GCF_012974845.1	ASM1297484v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-05-05	2	PRJNA548859	SAMN12057668
GCF_001636235.1	ASM163623v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-05-03	3	PRJNA311558	SAMN04485290
GCF_022469075.1	ASM2246907v1	Acinetobacter baumannii	GCF_022469075.1-RS_2024_04_21	Complete Genome	2022-03-03	1	PRJNA798866	SAMN25131653
GCF_033192035.1	ASM3319203v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-11-01	4	PRJNA1023193	SAMN37643064
GCF_038998165.1	ASM3899816v1	Acinetobacter baumannii	GCF_038998165.1-RS_2024_05_02	Complete Genome	2024-05-03	2	PRJNA992789	SAMN36374922
GCF_029713905.1	ASM2971390v1	Acinetobacter baumannii	GCF_029713905.1-RS_2024_05_17	Complete Genome	2023-04-13	2	PRJNA819214	SAMN27010277
GCF_016350085.1	ASM1635008v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-12-24	4	PRJNA684975	SAMN17073615
GCF_002082645.1	ASM208264v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-04-10	2	PRJNA380857	SAMN06650245
GCF_022467435.1	ASM2246743v1	Acinetobacter baumannii	GCF_022467435.1-RS_2024_04_21	Complete Genome	2022-03-03	1	PRJNA798866	SAMN25131672
GCF_032634445.1	ASM3263444v3	Acinetobacter baumannii	GCF_032634445.3-RS_2024_11_02	Complete Genome	2024-11-02	4	PRJNA812595	SAMN37709326
GCF_022466815.1	ASM2246681v1	Acinetobacter baumannii	GCF_022466815.1-RS_2024_04_21	Complete Genome	2022-03-03	1	PRJNA798866	SAMN25131677
GCF_029713925.1	ASM2971392v1	Acinetobacter baumannii	GCF_029713925.1-RS_2024_05_17	Complete Genome	2023-04-13	2	PRJNA819214	SAMN27010270
GCF_022459175.1	ASM2245917v1	Acinetobacter baumannii	GCF_022459175.1-RS_2024_04_21	Complete Genome	2022-03-03	1	PRJNA798866	SAMN25131645
GCF_022460575.1	ASM2246057v1	Acinetobacter baumannii	GCF_022460575.1-RS_2024_04_21	Complete Genome	2022-03-03	1	PRJNA798866	SAMN25131635
GCF_029714085.1	ASM2971408v1	Acinetobacter baumannii	GCF_029714085.1-RS_2024_05_17	Complete Genome	2023-04-13	3	PRJNA819214	SAMN27010253
GCF_022467975.1	ASM2246797v1	Acinetobacter baumannii	GCF_022467975.1-RS_2024_04_21	Complete Genome	2022-03-03	1	PRJNA798866	SAMN25131666
GCF_016350065.1	ASM1635006v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-12-24	3	PRJNA684975	SAMN17073617
GCF_028583505.1	ASM2858350v1	Acinetobacter baumannii	GCF_028583505.1-RS_2024_03_18	Complete Genome	2023-02-10	2	PRJNA900181	SAMN31681936
GCF_029713945.1	ASM2971394v1	Acinetobacter baumannii	GCF_029713945.1-RS_2024_05_17	Complete Genome	2023-04-13	4	PRJNA819214	SAMN27010231
GCF_037751415.1	ASM3775141v2	Acinetobacter baumannii	GCF_037751415.2-RS_2024_11_02	Complete Genome	2024-11-02	5	PRJNA812595	SAMN40632425
GCF_036287275.1	ASM3628727v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-01-28	4	PRJNA1063012	SAMN39326236
GCF_002947415.1	ASM294741v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-02-18	4	PRJNA292904	SAMN04014897
GCF_003029495.1	ASM302949v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-04-02	4	PRJNA316321	SAMN04014897
GCF_029714045.1	ASM2971404v1	Acinetobacter baumannii	GCF_029714045.1-RS_2024_05_17	Complete Genome	2023-04-13	3	PRJNA819214	SAMN27010226
GCF_030585385.1	ASM3058538v1	Acinetobacter baumannii	GCF_030585385.1-RS_2024_08_10	Complete Genome	2023-08-02	3	PRJNA557486	SAMN13480520
GCF_001895125.2	ASM189512v2	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-07-10	4	PRJDB5156	SAMD00059694
GCF_023362175.1	ASM2336217v1	Acinetobacter baumannii	GCF_023362175.1-RS_2024_05_21	Complete Genome	2022-05-13	2	PRJNA789460	SAMN24114649
GCF_022460015.1	ASM2246001v1	Acinetobacter baumannii	GCF_022460015.1-RS_2024_04_21	Complete Genome	2022-03-03	1	PRJNA798866	SAMN25131639
GCF_016350005.1	ASM1635000v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-12-24	3	PRJNA684975	SAMN17073618
GCF_002761575.1	ASM276157v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-11-07	2	PRJNA396979	SAMN07445112
GCF_020520405.1	ASM2052040v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-10-18	3	PRJNA770061	SAMN22202746
GCF_020520385.1	ASM2052038v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-10-18	3	PRJNA770061	SAMN22202745
GCF_024172225.1	ASM2417222v1	Acinetobacter baumannii	GCF_024172225.1-RS_2024_07_15	Complete Genome	2022-07-06	3	PRJNA853436	SAMN29388303
GCF_000794125.2	ASM79412v2	Acinetobacter baumannii	GCF_000794125.2-RS_2024_04_07	Complete Genome	2022-12-21	4	PRJNA263680	SAMN03105183
GCF_002999195.2	ASM299919v2	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-08-16	4	PRJNA387062	SAMN08364584
GCF_001922245.1	ASM192224v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-12-27	3	PRJNA296424	SAMN04096370
GCF_020520325.1	ASM2052032v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-10-18	3	PRJNA770061	SAMN22202742
GCF_020520365.1	ASM2052036v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-10-18	3	PRJNA770061	SAMN22202744
GCF_020520345.1	ASM2052034v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-10-18	3	PRJNA770061	SAMN22202743
GCF_040536855.1	ASM4053685v1	Acinetobacter baumannii	GCF_040536855.1-RS_2024_07_07	Complete Genome	2024-07-08	3	PRJNA1129009	SAMN42110440
